"country","countrycode","year","cov_anc1_dhis2","cov_instlivebirths_dhis2","cov_instdeliveries_dhis2","cov_bcg_dhis2","cov_penta1_dhis2","cov_penta2_dhis2","cov_penta3_dhis2","cov_measles1_dhis2","cov_measles2_dhis2","cov_opv1_dhis2","cov_opv2_dhis2","cov_opv3_dhis2","cov_pcv1_dhis2","cov_pcv2_dhis2","cov_pcv3_dhis2","cov_rota1_dhis2","cov_rota2_dhis2","cov_ipv1_dhis2","cov_ipv2_dhis2","cov_zerodose_dhis2","cov_undervax_dhis2","cov_dropout_penta13_dhis2","cov_dropout_measles12_dhis2","cov_dropout_penta3mcv1_dhis2","cov_dropout_penta1mcv1_dhis2","cov_anc1_un","cov_instlivebirths_un","cov_instdeliveries_un","cov_bcg_un","cov_penta1_un","cov_penta2_un","cov_penta3_un","cov_measles1_un","cov_measles2_un","cov_opv1_un","cov_opv2_un","cov_opv3_un","cov_pcv1_un","cov_pcv2_un","cov_pcv3_un","cov_rota1_un","cov_rota2_un","cov_ipv1_un","cov_ipv2_un","cov_zerodose_un","cov_undervax_un","cov_dropout_penta13_un","cov_dropout_measles12_un","cov_dropout_penta3mcv1_un","cov_dropout_penta1mcv1_un","cov_anc1_anc1","cov_instlivebirths_anc1","cov_instdeliveries_anc1","cov_bcg_anc1","cov_penta1_anc1","cov_penta3_anc1","cov_measles1_anc1","cov_measles2_anc1","cov_penta2_anc1","cov_opv1_anc1","cov_opv2_anc1","cov_opv3_anc1","cov_pcv1_anc1","cov_pcv2_anc1","cov_pcv3_anc1","cov_rota1_anc1","cov_rota2_anc1","cov_ipv1_anc1","cov_ipv2_anc1","cov_zerodose_anc1","cov_undervax_anc1","cov_dropout_penta13_anc1","cov_dropout_measles12_anc1","cov_dropout_penta3mcv1_anc1","cov_dropout_penta1mcv1_anc1","cov_anc1_penta1","cov_instlivebirths_penta1","cov_instdeliveries_penta1","cov_bcg_penta1","cov_penta1_penta1","cov_penta3_penta1","cov_measles1_penta1","cov_measles2_penta1","cov_penta2_penta1","cov_opv1_penta1","cov_opv2_penta1","cov_opv3_penta1","cov_pcv1_penta1","cov_pcv2_penta1","cov_pcv3_penta1","cov_rota1_penta1","cov_rota2_penta1","cov_ipv1_penta1","cov_ipv2_penta1","cov_zerodose_penta1","cov_undervax_penta1","cov_dropout_penta13_penta1","cov_dropout_measles12_penta1","cov_dropout_penta3mcv1_penta1","cov_dropout_penta1mcv1_penta1","Country"
"Ethiopia",231,2019,105.063407897949,66.8639221191406,66.0218124389648,98.7315216064453,105.534271240234,0,98.50927734375,94.6678161621094,55.0078773498535,102.204299926758,0,95.304557800293,103.349540710449,0,95.7551651000977,101.503288269043,95.1910629272461,92.5445327758789,0,-5.53427505493164,1.49072277545929,6.65660285949707,43.0191917419434,5.72550106048584,12.0009803771973,94.1730728149414,59.9331512451172,59.1783256530762,88.4975204467773,94.5951385498047,0,88.2983169555664,84.8550415039062,49.3060455322266,91.6103286743164,0,85.42578125,92.6368637084961,0,85.8296813964844,90.9819869995117,85.3240509033203,82.9518432617188,0,5.40486192703247,11.7016849517822,6.65660285949707,43.0191917419434,5.72550106048584,12.0009803771973,74,47.0947036743164,46.5015754699707,69.5402221679688,74.3316497802734,69.3836898803711,66.6780090332031,38.7440643310547,0,71.9862289428711,0,67.1264877319336,72.7928695678711,0,67.4438705444336,71.4924850463867,67.0465545654297,65.182502746582,0,25.6683464050293,30.6163101196289,6.65660285949707,43.0191917419434,5.72550106048584,12.0009803771973,73.6698303222656,46.8845825195312,46.2940940856934,69.2299499511719,74,69.0741119384766,66.380500793457,38.5711936950684,0,71.6650390625,0,66.8269805908203,72.4680786132812,0,67.142951965332,71.1735000610352,66.7474060058594,64.8916702270508,0,26,30.9258861541748,6.65660285949707,43.0191917419434,5.72550106048584,12.0009803771973,"Ethiopia"
"Ethiopia",231,2020,102.935035705566,67.7174606323242,66.8646011352539,99.0908203125,106.829864501953,0,100.763137817383,96.8482818603516,72.9432601928711,103.561584472656,0,97.684211730957,104.420059204102,0,98.1600341796875,103.443962097168,97.5103149414062,96.3505325317383,0,-6.82986688613892,-0.763137400150299,5.67887020111084,26.1417007446289,5.71138715744019,11.0659151077271,92.8034362792969,61.0522270202637,60.2833061218262,89.3376007080078,96.3149108886719,0,90.8453140258789,87.315788269043,65.7636642456055,93.3683166503906,0,88.0694351196289,94.1422958374023,0,88.4984283447266,93.2622680664062,87.9126586914062,86.8670272827148,0,3.68508744239807,9.15468597412109,5.67887020111084,26.1417007446289,5.71138715744019,11.0659151077271,74,48.6820869445801,48.068962097168,71.2363967895508,76.7999954223633,72.4386215209961,69.6242370605469,52.4389114379883,0,74.4504318237305,0,70.2251815795898,75.0675811767578,0,70.567253112793,74.3658676147461,70.1001739501953,69.2664031982422,0,23.2000045776367,27.5613765716553,5.67887020111084,26.1417007446289,5.71138715744019,11.0659151077271,71.3020858764648,46.9072189331055,46.3164482116699,68.6392364501953,74,69.7976379394531,67.0858535766602,50.5270805358887,0,71.7360916137695,0,67.6648941040039,72.3307495117188,0,67.9944915771484,71.6546173095703,67.5444412231445,66.7410659790039,0,26,30.2023639678955,5.67887020111084,26.1417007446289,5.71138715744019,11.0659151077271,"Ethiopia"
"Ethiopia",231,2021,93.0552215576172,67.2328033447266,66.3860397338867,96.6473617553711,100.101905822754,0,94.5257034301758,90.4750213623047,74.110725402832,97.9875183105469,0,92.0939865112305,97.7578659057617,0,92.0911407470703,96.8010940551758,91.5537719726562,91.1619567871094,0,-0.10190699249506,5.47429847717285,5.57052850723267,19.6735820770264,6.10384559631348,11.3343572616577,84.5342559814453,61.0763740539551,60.3071479797363,87.7974700927734,90.9356918334961,0,85.8700942993164,82.1903305053711,67.3244857788086,89.0149154663086,0,83.6610488891602,88.8062896728516,0,83.6584625244141,87.937126159668,83.170295715332,82.8143615722656,0,9.06430912017822,14.1299076080322,5.57052850723267,19.6735820770264,6.10384559631348,11.3343572616577,74,53.4653205871582,52.7919540405273,76.856559753418,79.6037063598633,75.1693649291992,71.9481582641602,58.9348220825195,0,77.9222869873047,0,73.235595703125,77.7396621704102,0,73.2333297729492,76.9788131713867,72.8060073852539,72.4944229125977,0,20.3962917327881,24.830638885498,5.57052850723267,19.6735820770264,6.10384559631348,11.3343572616577,68.7907485961914,49.7016220092773,49.0756530761719,71.4462356567383,73.9999923706055,69.8778076171875,66.8833541870117,54.7860984802246,0,72.4369430541992,0,68.0801696777344,72.2671737670898,0,68.0780639648438,71.5598831176758,67.6808166503906,67.3911666870117,0,26.0000038146973,30.1221942901611,5.57052850723267,19.6735820770264,6.10384559631348,11.3343572616577,"Ethiopia"
"Ethiopia",231,2022,97.3163833618164,71.0235748291016,70.1290740966797,100.914108276367,104.518035888672,0,98.9237899780273,95.982551574707,83.9169769287109,97.5591430664062,0,91.3985595703125,101.623558044434,0,95.7856903076172,100.77368927002,95.0499877929688,95.0483093261719,0,-4.51803636550903,1.07620739936829,5.35241937637329,14.2639207839966,4.81675243377686,9.91135883331299,89.3834228515625,65.2339248657227,64.4123458862305,92.687873840332,95.9980163574219,0,90.8598022460938,88.158317565918,77.0762939453125,89.6063919067383,0,83.947998046875,93.339485168457,0,87.9775085449219,92.5588989257812,87.3017807006836,87.3002319335938,0,4.0019850730896,9.14020156860352,5.35241937637329,14.2639207839966,4.81675243377686,9.91135883331299,74,54.0067825317383,53.3265914916992,76.7357330322266,79.476188659668,75.2222900390625,72.9857482910156,63.8110084533691,0,74.1846008300781,0,69.5000534057617,77.2752075195312,0,72.8360595703125,76.6289596557617,72.2766189575195,72.2753448486328,0,20.5238132476807,24.7777118682861,5.35241937637329,14.2639207839966,4.81675243377686,9.91135883331299,68.9011459350586,50.2855224609375,49.6522064208984,71.448371887207,74,70.0392074584961,67.9567718505859,59.4142036437988,0,69.0730209350586,0,64.7112503051758,71.9506683349609,0,67.8173980712891,71.3489532470703,67.2965087890625,67.2953186035156,0,26.0000038146973,29.9607944488525,5.35241937637329,14.2639207839966,4.81675243377686,9.91135883331299,"Ethiopia"
"Ethiopia",231,2023,99.349479675293,75.4017105102539,74.4520645141602,104.399337768555,107.575988769531,0,102.699493408203,99.1674652099609,88.394660949707,102.845352172852,0,97.9038772583008,104.473121643066,0,99.3725051879883,102.172302246094,97.3106231689453,98.8831329345703,0,-7.57599020004272,-2.6994936466217,4.53307151794434,12.5896520614624,5.27383852005005,9.56784343719482,92.1459045410156,69.9345169067383,69.0537338256836,96.8296051025391,99.7759246826172,0,95.2530059814453,91.9770812988281,81.9853820800781,95.388298034668,0,90.8051147460938,96.8980331420898,0,92.1672515869141,94.764045715332,90.2548675537109,91.7133636474609,0,0.224077075719833,4.74699115753174,4.53307151794434,12.5896520614624,5.27383852005005,9.56784343719482,74,56.1626091003418,55.4552726745605,77.761360168457,80.1274795532227,76.4952392578125,73.8644256591797,65.8403472900391,0,76.6038818359375,0,72.9232482910156,77.8163146972656,0,74.0171508789062,76.1025695800781,72.4813613891602,73.6526412963867,0,19.8725242614746,23.5047607421875,4.53307151794434,12.5896520614624,5.27383852005005,9.56784343719482,68.3411026000977,51.8677711486816,51.2145195007324,71.8148345947266,74,70.6455307006836,68.2158966064453,60.8054351806641,0,70.7458648681641,0,67.3466949462891,71.8655776977539,0,68.3569412231445,70.2828826904297,66.9385986328125,68.0203094482422,0,25.9999961853027,29.3544692993164,4.53307151794434,12.5896520614624,5.27383852005005,9.56784343719482,"Ethiopia"
"Uganda",800,2019,128.565551757812,82.105339050293,78.5894927978516,127.587776184082,136.038146972656,127.698097229004,128.832489013672,120.993026733398,0,136.016220092773,125.934120178223,125.802124023438,135.959594726562,163.497940063477,127.147964477539,130.464309692383,120.030754089355,123.081733703613,0,-36.0381469726562,-28.8324851989746,5.29679489135742,100,7.39980888366699,12.304651260376,99.3984680175781,63.4784698486328,60.7602500915527,98.6425094604492,105.175788879395,98.7278060913086,99.6048431396484,93.5438842773438,0,105.158828735352,97.364013671875,97.261962890625,105.115051269531,126.405899047852,98.3024749755859,100.86646270752,92.799919128418,95.1587371826172,0,-5.17578554153442,0.395160287618637,5.29679489135742,100,7.39980888366699,12.304651260376,99,63.2239990234375,60.516674041748,98.2470779418945,104.754165649414,99.2055511474609,93.1688919067383,0,98.33203125,104.737274169922,96.9737014770508,96.8720703125,104.693672180176,125.899169921875,97.9084091186523,100.462112426758,92.4279098510742,94.7772674560547,0,-4.75416421890259,0.794449269771576,5.29679489135742,100,7.39980888366699,12.304651260376,90.7267074584961,57.9404525756836,55.4593772888184,90.0366973876953,96,90.9150772094727,85.3828964233398,0,90.1145553588867,95.9845275878906,88.869743347168,88.7766036987305,95.9445648193359,115.377944946289,89.7263336181641,92.0666275024414,84.7038345336914,86.8568649291992,0,4,9.08492374420166,5.29679489135742,100,7.39980888366699,12.304651260376,"Uganda"
"Uganda",800,2020,138.228790283203,95.4891967773438,91.4002304077148,133.333602905273,137.59880065918,130.952865600586,129.950088500977,127.740173339844,0,137.601043701172,130.445388793945,129.376861572266,137.802886962891,131.064590454102,130.386764526367,134.30615234375,125.15015411377,126.950256347656,0.00384450191631913,-37.5988082885742,-29.9500904083252,5.55870866775513,100,3.07678270339966,8.46446228027344,106.702133178711,73.7104110717773,70.5540466308594,102.923416137695,106.215835571289,101.085670471191,100.31160736084,98.605712890625,0,106.217567443848,100.693939208984,99.8691177368164,106.37336730957,101.171920776367,100.648681640625,103.674156188965,96.6064147949219,97.995964050293,0.00296766357496381,-6.21583604812622,-0.311607152223587,5.55870866775513,100,3.07678270339966,8.46446228027344,99,68.3897323608398,65.4612045288086,95.4940490722656,98.5488052368164,93.0707626342773,91.4880065917969,0,93.7889556884766,98.550407409668,93.4254989624023,92.6602096557617,98.6949691772461,93.8689727783203,93.3835067749023,96.1905899047852,89.6330261230469,90.9222717285156,0.00275344727560878,1.4511958360672,6.92923641204834,5.55870866775513,100,3.07678270339966,8.46446228027344,96.4395294189453,66.6209487915039,63.7681617736816,93.0242538452148,96,90.6636428833008,89.121826171875,0,91.3632583618164,96.0015640258789,91.0092010498047,90.2637100219727,96.1423797607422,91.4412078857422,90.9682998657227,93.7027816772461,87.314811706543,88.5707168579102,0.00268223392777145,4,9.33635997772217,5.55870866775513,100,3.07678270339966,8.46446228027344,"Uganda"
"Uganda",800,2021,136.849685668945,107.426124572754,102.826011657715,132.755020141602,140.588973999023,133.021148681641,132.375518798828,132.222793579102,0,140.765045166016,132.896682739258,132.398651123047,141.094451904297,133.107025146484,133.041534423828,135.525512695312,126.361656188965,130.113494873047,0.0875257253646851,-40.5889778137207,-32.3755226135254,5.8421778678894,100,1.51375198364258,7.267493724823,105.772109985352,83.0304183959961,79.474967956543,102.607315063477,108.662223815918,102.81298828125,102.313980102539,102.195945739746,0,108.798309326172,102.716789245605,102.33186340332,109.05290222168,102.879364013672,102.828750610352,104.748626708984,97.6658248901367,100.565650939941,0.0676492527127266,-8.66222381591797,-2.31398367881775,5.8421778678894,100,1.51375198364258,7.267493724823,99,77.71435546875,74.3865356445312,96.0378265380859,101.705078125,95.7632827758789,95.6528091430664,0,96.230339050293,101.832450866699,96.1402969360352,95.7800216674805,102.070739746094,96.2924652099609,96.2450942993164,98.0420532226562,91.412727355957,94.1268920898438,0.0633179843425751,-1.70507490634918,4.23671627044678,5.8421778678894,100,1.51375198364258,7.267493724823,93.4466705322266,73.3550262451172,70.2138824462891,90.6506576538086,96,90.3915100097656,90.2872314453125,0,90.8323669433594,96.120231628418,90.7473754882812,90.4073104858398,96.3451538085938,90.8910064697266,90.8462905883789,92.5424499511719,86.2849960327148,88.8469085693359,0.0597662031650543,3.99999785423279,9.60848808288574,5.8421778678894,100,1.51375198364258,7.267493724823,"Uganda"
"Uganda",800,2022,133.527359008789,108.928634643555,104.264190673828,133.376419067383,137.970367431641,130.421020507812,130.199752807617,131.158538818359,0,138.592330932617,130.678268432617,130.69953918457,138.943374633789,131.396728515625,131.090087890625,132.739456176758,123.850914001465,136.196685791016,14.545802116394,-37.9703712463379,-30.1997489929199,5.63209533691406,100,0.673909723758698,6.26804971694946,103.699081420898,84.5953979492188,80.9729232788086,103.58186340332,107.149589538574,101.286666870117,101.114822387695,101.859428405762,0,107.632614135742,101.486442565918,101.502967834473,107.905242919922,102.044410705566,101.806266784668,103.087188720703,96.1842346191406,105.772125244141,11.296459197998,-7.1495885848999,-1.11482179164886,5.63209533691406,100,0.673909723758698,6.26804971694946,99,80.7619857788086,77.3036651611328,98.8880844116211,102.294136047363,96.5328369140625,97.2437057495117,0,96.696891784668,102.755271911621,96.8876113891602,96.9033889770508,103.015548706055,97.420295715332,97.1929473876953,98.4158248901367,91.8256759643555,100.979095458984,10.7845640182495,-2.29413652420044,3.46716666221619,5.63209533691406,100,0.673909723758698,6.26804971694946,92.9085464477539,75.792724609375,72.5471878051758,92.8035278320312,96,90.5931930541992,91.2603149414062,0,90.7471542358398,96.4327621459961,90.926139831543,90.9409484863281,96.6770248413086,91.4260482788086,91.2126846313477,92.3603210449219,86.1756591796875,94.765869140625,10.1209917068481,3.99999785423279,9.40680980682373,5.63209533691406,100,0.673909723758698,6.26804971694946,"Uganda"
"Uganda",800,2023,135.884414672852,104.524757385254,100.048881530762,133.091461181641,140.588363647461,133.060821533203,134.662475585938,134.768890380859,0,138.676483154297,130.459228515625,132.413269042969,140.713241577148,133.008056640625,134.482406616211,136.829330444336,128.212753295898,168.302703857422,22.22727394104,-40.5883712768555,-34.6624717712402,4.21506977081299,100,1.32208120822906,5.48142433166504,105.98828125,81.5281143188477,78.0369873046875,103.809814453125,109.657318115234,103.785919189453,105.035186767578,105.118194580078,0,108.166069030762,101.756706237793,103.280838012695,109.754722595215,103.744766235352,104.894737243652,106.725318908691,100.00447845459,131.274185180664,17.3370189666748,-9.65732097625732,-5.03518772125244,4.21506977081299,100,1.32208120822906,5.48142433166504,99,76.1525955200195,72.8916549682617,96.9651718139648,102.427124023438,98.109748840332,98.1872787475586,0,96.9428482055664,101.034194946289,95.0474243164062,96.4710693359375,102.518096923828,96.9044036865234,97.9785537719727,99.6884384155273,93.4107360839844,122.618690490723,16.1939125061035,-2.42712163925171,1.89025318622589,4.21506977081299,100,1.32208120822906,5.48142433166504,92.7879257202148,71.3741607666016,68.3178329467773,90.8807754516602,96,91.9535293579102,92.0261993408203,0,90.8598556518555,94.6944732666016,89.083366394043,90.4176788330078,96.0852661132812,90.8238220214844,91.8305740356445,93.4331665039062,87.5493774414062,114.924583435059,15.1777715682983,4.00000190734863,8.04646873474121,4.21506977081299,100,1.32208120822906,5.48142433166504,"Uganda"
