"country","adminlevel_1","year","cov_anc1_dhis2","cov_instlivebirths_dhis2","cov_instdeliveries_dhis2","cov_bcg_dhis2","cov_penta1_dhis2","cov_penta3_dhis2","cov_measles1_dhis2","cov_measles2_dhis2","cov_penta2_dhis2","cov_opv1_dhis2","cov_opv2_dhis2","cov_opv3_dhis2","cov_pcv1_dhis2","cov_pcv2_dhis2","cov_pcv3_dhis2","cov_rota1_dhis2","cov_rota2_dhis2","cov_ipv1_dhis2","cov_ipv2_dhis2","cov_zerodose_dhis2","cov_undervax_dhis2","cov_dropout_penta13_dhis2","cov_dropout_measles12_dhis2","cov_dropout_penta3mcv1_dhis2","cov_dropout_penta1mcv1_dhis2","cov_anc1_anc1","cov_instlivebirths_anc1","cov_instdeliveries_anc1","cov_bcg_anc1","cov_penta1_anc1","cov_penta3_anc1","cov_measles1_anc1","cov_measles2_anc1","cov_penta2_anc1","cov_opv1_anc1","cov_opv2_anc1","cov_opv3_anc1","cov_pcv1_anc1","cov_pcv2_anc1","cov_pcv3_anc1","cov_rota1_anc1","cov_rota2_anc1","cov_ipv1_anc1","cov_ipv2_anc1","cov_zerodose_anc1","cov_undervax_anc1","cov_dropout_penta13_anc1","cov_dropout_measles12_anc1","cov_dropout_penta3mcv1_anc1","cov_dropout_penta1mcv1_anc1","cov_anc1_penta1","cov_instlivebirths_penta1","cov_instdeliveries_penta1","cov_bcg_penta1","cov_penta1_penta1","cov_penta3_penta1","cov_measles1_penta1","cov_measles2_penta1","cov_penta2_penta1","cov_opv1_penta1","cov_opv2_penta1","cov_opv3_penta1","cov_pcv1_penta1","cov_pcv2_penta1","cov_pcv3_penta1","cov_rota1_penta1","cov_rota2_penta1","cov_ipv1_penta1","cov_ipv2_penta1","cov_zerodose_penta1","cov_undervax_penta1","cov_dropout_penta13_penta1","cov_dropout_measles12_penta1","cov_dropout_penta3mcv1_penta1","cov_dropout_penta1mcv1_penta1","Country"
"Ethiopia","Addis Ababa",2019,180.293167114258,163.695892333984,161.634231567383,166.486450195312,153.919891357422,151.123733520508,143.624816894531,126.794952392578,0,157.874008178711,0,154.383316040039,152.772689819336,0,151.148895263672,152.130828857422,150.142990112305,148.084503173828,0,-53.9198875427246,-51.1237411499023,1.81662583351135,13.4277868270874,6.76782894134521,8.46150875091553,74,67.1877746582031,66.3415832519531,68.333137512207,63.1752891540527,62.0276298522949,58.9497528076172,52.0420532226562,0,64.7982330322266,0,63.3655014038086,62.7044296264648,0,62.0379524230957,62.4409828186035,61.6250877380371,60.7801971435547,0,36.8247108459473,37.9723701477051,1.81662583351135,13.4277868270874,6.76782894134521,8.46150875091553,86.6794586181641,78.7000045776367,77.7088165283203,80.041618347168,74,72.6556930541992,69.0504379272461,60.9591522216797,0,75.9010162353516,0,74.2228012084961,73.4484558105469,0,72.6677856445312,73.1398696899414,72.1841812133789,71.1945190429688,0,26.0000038146973,27.3443069458008,1.81662583351135,13.4277868270874,6.76782894134521,8.46150875091553,"Ethiopia"
"Ethiopia","Addis Ababa",2020,173.377136230469,160.755813598633,158.731185913086,164.386840820312,153.956939697266,151.9541015625,148.688705444336,124.990646362305,0,153.440719604492,0,147.874664306641,154.097412109375,0,150.967300415039,152.817977905273,151.297409057617,151.160446166992,0,-53.9569435119629,-51.9540977478027,1.30091309547424,17.5661468505859,4.00810384750366,5.25687503814697,74,68.6130294799805,67.7488861083984,70.1628036499023,65.7111663818359,64.8563232421875,63.4626045227051,53.3479156494141,0,65.490837097168,0,63.1151580810547,65.771125793457,0,64.4351501464844,65.2250442504883,64.576042175293,64.5175857543945,0,34.2888298034668,35.1436767578125,1.30091309547424,17.5661468505859,4.00810384750366,5.25687503814697,83.3343887329102,77.2679061889648,76.2947616577148,79.0131683349609,74,73.0373229980469,71.4677963256836,60.0772399902344,0,73.7518768310547,0,71.076530456543,74.0675201416016,0,72.5630187988281,73.4525527954102,72.7216873168945,72.6558532714844,0,25.9999980926514,26.9626750946045,1.30091309547424,17.5661468505859,4.00810384750366,5.25687503814697,"Ethiopia"
"Ethiopia","Addis Ababa",2021,187.56315612793,165.699523925781,163.61262512207,177.297424316406,160.609130859375,155.370727539062,149.566482543945,135.31379699707,0,170.813613891602,0,156.224334716797,158.533447265625,0,154.525115966797,157.696990966797,155.053756713867,154.307708740234,0,-60.609130859375,-55.370719909668,3.26158976554871,11.2815551757812,5.56476163864136,8.64485168457031,74,65.3740615844727,64.5507049560547,69.949821472168,63.3657302856445,61.298999786377,59.0090255737305,53.3858680725098,0,67.3917465209961,0,61.6357803344727,62.546802520752,0,60.9653778076172,62.2167930603027,61.1739463806152,60.8796043395996,0,36.6342697143555,38.701000213623,3.26158976554871,11.2815551757812,5.56476163864136,8.64485168457031,86.4189529418945,76.3453750610352,75.3838500976562,81.6890640258789,74,71.58642578125,68.9121398925781,62.3452835083008,0,78.7016754150391,0,71.9797210693359,73.0436325073242,0,71.1968154907227,72.6582412719727,71.4403839111328,71.0966415405273,0,26.0000019073486,28.4135780334473,3.26158976554871,11.2815551757812,5.56476163864136,8.64485168457031,"Ethiopia"
"Ethiopia","Addis Ababa",2022,188.232666015625,166.408416748047,164.312606811523,176.957275390625,162.456787109375,160.509307861328,153.198928833008,134.714111328125,0,156.678192138672,0,141.590026855469,161.283142089844,0,159.633560180664,158.783569335938,158.872039794922,157.263885498047,0,-62.4567832946777,-60.5093078613281,1.1987646818161,13.7690019607544,6.36795568466187,7.49038362503052,74,65.4202194213867,64.5962905883789,69.5672988891602,63.8667144775391,63.1011047363281,60.2271728515625,52.9602241516113,0,61.5949745178223,0,55.6633567810059,63.4053230285645,0,62.7568206787109,62.422664642334,62.4574432373047,61.8252296447754,0,36.1332855224609,36.8988952636719,1.1987646818161,13.7690019607544,6.36795568466187,7.49038362503052,85.7410659790039,75.7999877929688,74.845329284668,80.6050491333008,74,73.1129150390625,69.7829895019531,61.3630447387695,0,71.3678131103516,0,64.4950714111328,73.4654006958008,0,72.7140045166016,72.3268280029297,72.3671264648438,71.6346054077148,0,26.0000019073486,26.8870887756348,1.1987646818161,13.7690019607544,6.36795568466187,7.49038362503052,"Ethiopia"
"Ethiopia","Addis Ababa",2023,198.31526184082,175.281433105469,173.073867797852,180.379867553711,168.373657226562,163.367324829102,157.266143798828,141.181549072266,0,160.948059082031,0,159.956665039062,168.823287963867,0,163.313583374023,163.291656494141,161.612640380859,160.718856811523,0,-68.373649597168,-63.3673286437988,2.97334098815918,11.9663343429565,5.56368589401245,8.3715991973877,74,65.4050827026367,64.5813369750977,67.3075256347656,62.8274879455566,60.9594116210938,58.6827964782715,52.6809387207031,0,60.0566787719727,0,59.6867485046387,62.9952659606934,0,60.9393615722656,60.9311752319336,60.3046646118164,59.9711532592773,0,37.1725120544434,39.0405883789062,2.97334098815918,11.9663343429565,5.56368589401245,8.3715991973877,87.1593017578125,77.0359649658203,76.0657348632812,79.2767181396484,74,71.7997283935547,69.1182632446289,62.0491104125977,0,70.7364654541016,0,70.3007431030273,74.1976165771484,0,71.7761077880859,71.766471862793,71.0285491943359,70.6357269287109,0,26.0000019073486,28.2002735137939,2.97334098815918,11.9663343429565,5.56368589401245,8.3715991973877,"Ethiopia"
"Ethiopia","Afar",2019,104.834320068359,40.8569183349609,40.3423461914062,86.423469543457,96.6848831176758,82.3003005981445,76.1324234008789,34.0825462341309,0,86.5176162719727,0,74.132942199707,85.5112075805664,0,74.3909912109375,84.6061859130859,74.3486022949219,65.5287322998047,0,3.31511735916138,17.6996994018555,14.8777980804443,56.099609375,9.25195980072021,22.7532691955566,74,28.8399028778076,28.4766807556152,61.0042266845703,68.2475051879883,58.0937805175781,53.7400283813477,24.0580406188965,0,61.0706825256348,0,52.3286399841309,60.3602828979492,0,52.5107917785645,59.7214469909668,52.4808692932129,46.2551422119141,0,31.7524929046631,41.9062194824219,14.8777980804443,56.099609375,9.25195980072021,22.7532691955566,80.2373657226562,31.2707824707031,30.8769435882568,66.1461944580078,74,62.9904327392578,58.269702911377,26.0858612060547,0,66.2182540893555,0,56.7393531799316,65.4479751586914,0,56.9368591308594,64.7552947998047,56.9044151306152,50.1539268493652,0,25.9999980926514,37.0095672607422,14.8777980804443,56.099609375,9.25195980072021,22.7532691955566,"Ethiopia"
"Ethiopia","Afar",2020,106.076522827148,37.9295234680176,37.4518203735352,85.8309936523438,98.5316696166992,85.9965209960938,81.7387390136719,52.3703231811523,0,89.331657409668,0,77.5748825073242,86.2235412597656,0,76.9262313842773,84.9766998291016,75.6577606201172,70.6451416015625,0,1.46832978725433,14.0034828186035,12.7219533920288,37.1705284118652,6.75704002380371,18.6193656921387,74,26.4599990844727,26.1267490386963,59.8765258789062,68.7366409301758,59.992000579834,57.021728515625,36.5340461730957,0,62.3186264038086,0,54.1169891357422,60.1503753662109,0,53.6644821166992,59.2805633544922,52.7795867919922,49.2827339172363,0,31.263355255127,40.007999420166,12.7219533920288,37.1705284118652,6.75704002380371,18.6193656921387,79.666389465332,28.4861164093018,28.127347946167,64.4614410400391,74,64.5857543945312,61.3880462646484,39.3315544128418,0,67.0905380249023,0,58.2608757019043,64.7562561035156,0,57.7737236022949,63.8198394775391,56.8210678100586,53.0564498901367,0,26,35.4142456054688,12.7219533920288,37.1705284118652,6.75704002380371,18.6193656921387,"Ethiopia"
"Ethiopia","Afar",2021,94.3224258422852,34.6757621765137,34.2390365600586,74.2202529907227,83.1506042480469,74.4903335571289,68.3025894165039,45.0209732055664,0,76.4154205322266,0,66.4570770263672,74.9412231445312,0,67.0647201538086,74.3670425415039,67.7762832641602,65.9533462524414,0,16.8493957519531,25.5096683502197,10.4151659011841,35.3626174926758,10.0489444732666,19.4174957275391,74,27.204626083374,26.8619995117188,58.2289810180664,65.2352294921875,58.4408683776855,53.5863189697266,35.3208885192871,0,59.9511871337891,0,52.1384353637695,58.7946128845215,0,52.615161895752,58.3441429138184,53.173412322998,51.7432403564453,0,34.7647743225098,41.5591316223145,10.4151659011841,35.3626174926758,10.0489444732666,19.4174957275391,83.9423828125,30.8597412109375,30.4710807800293,66.0524139404297,74,66.2927780151367,60.7859878540039,40.066478729248,0,68.0060195922852,0,59.1435699462891,66.6940460205078,0,59.6843452453613,66.1830520629883,60.3176040649414,58.6952781677246,0,26,33.7072219848633,10.4151659011841,35.3626174926758,10.0489444732666,19.4174957275391,"Ethiopia"
"Ethiopia","Afar",2022,94.6307907104492,32.307487487793,31.9005889892578,83.0517044067383,92.9446258544922,79.2839584350586,72.8855972290039,52.9718246459961,0,86.5187149047852,0,73.6203231811523,85.1873092651367,0,71.4231643676758,83.37646484375,69.1949615478516,74.2463607788086,0,7.05537557601929,20.71604347229,14.6976413726807,28.7295875549316,9.81684494018555,23.0716419219971,74,25.2640151977539,24.9458293914795,64.9453048706055,72.6814346313477,61.9989776611328,56.9955520629883,41.4232482910156,0,67.6564559936523,0,57.5700950622559,66.6153182983398,0,55.8519477844238,65.1992645263672,54.1095237731934,58.0596466064453,0,27.3185653686523,38.0010223388672,14.6976413726807,28.7295875549316,9.81684494018555,23.0716419219971,75.3424835205078,25.7223491668701,25.3983898162842,66.1235275268555,74,63.1237487792969,58.0295524597168,42.1747360229492,0,68.8838653564453,0,58.6145172119141,67.8238372802734,0,56.8652000427246,66.3820953369141,55.0911636352539,59.1129493713379,0,25.9999961853027,36.8762512207031,14.6976413726807,28.7295875549316,9.81684494018555,23.0716419219971,"Ethiopia"
"Ethiopia","Afar",2023,124.108581542969,43.6253623962402,43.0759239196777,100.736511230469,114.335350036621,101.685111999512,93.5512313842773,78.3656539916992,0,103.156776428223,0,92.1640625,103.736320495605,0,90.8985366821289,101.036293029785,92.1944808959961,85.4309005737305,0,-14.3353471755981,-1.6851122379303,11.0641508102417,17.8547763824463,9.74710083007812,19.732816696167,74,26.0117130279541,25.6841106414795,60.0643577575684,68.1726913452148,60.6299591064453,55.7801208496094,46.7256851196289,0,61.5074424743652,0,54.9530181884766,61.8529968261719,0,54.1984405517578,60.2431030273438,54.9711494445801,50.9383544921875,0,31.8273105621338,39.3700408935547,11.0641508102417,17.8547763824463,9.74710083007812,19.732816696167,80.3254318237305,28.2351608276367,27.8795547485352,65.1985778808594,74,65.8125305175781,60.5481300354004,50.7197380065918,0,66.765022277832,0,59.6503295898438,67.1401062011719,0,58.8312530517578,65.3926010131836,59.6700134277344,55.2924995422363,0,26,34.1874694824219,11.0641508102417,17.8547763824463,9.74710083007812,19.732816696167,"Ethiopia"
